restaurant_name,restaurant_rating,restaurant_number_reviews,restaurant_rank,restaurant_postcode,restaurant_price
Akira Sushi,2.5,80,2355,41001,2.5
Ostreria & Sushi De Mercado,3.5,176,2141,41010,2.5
McSushi San Pablo,4,5,1790,41001,2.5
sushi eñe,4,8,1711,41002,1
NIGISHI SUSHI,3.5,30,1306,41005,2.5
SAKURA Japanese Restaurant,3.5,83,1312,41005,2.5
Sushi Fusion,4,19,1251,41012,1
Edamame,4,70,99,41013,2.5
Kaede,3.5,95,88,41009,2.5
Kaede,3.5,302,86,41004,2.5
Japones Sushi Chaki,4,76,86,41011,2.5
Takumi,4,98,78,41003,2.5
Taiyo Sushi Bar Restaurante Japonés,4,104,61,41005,2.5
UDON Torre Sevilla,4,86,63,41092,2.5
Miss Sushi Sevilla Restaurante Japonés,4,183,55,41001,2.5
Samurai,4,224,58,41010,2.5
Sushi 81,4.5,64,53,41110,1
Iki,4,61,54,41018,2.5
Restaurante Japonés Oshiro,4,151,59,41020,2.5
5Sushi Take Away,5,27,46,41008,2.5
La Hermandad del Sushi,4,69,41,41003,2.5
Wasabi,4,149,44,41002,2.5
Mizüshi,4,174,41,41004,2.5
Kakure Sushibar,4,249,30,41001,2.5
Restaurante Japonés You Sushi,4,229,34,41003,2.5
Rollojapo,4.5,154,35,41009,2.5
YAMAZAKI,4,256,25,41003,2.5
Origami,4.5,159,26,41004,2.5
Matsuri,4.5,405,15,NA,2.5
Akashito Sushi,4.5,172,15,41010,1
Sibuya Urban Sushi Bar,4.5,429,4,41001,2.5
